Edge per part, Time Execution MWM, Total Cost MWM, Time Execution AU, Total Cost AU, Winner
2, 1.137 ms, 30.1672, 1.8778 ms, 30.1672, None
3, 1.1164 ms, 78.3334, 4.0176 ms, 78.3334, None
4, 3.688 ms, 105.97, 6.7582 ms, 105.97, None
5, 2.8133 ms, 144.725, 11.7682 ms, 144.725, None
6, 5.6933 ms, 207.012, 26.8628 ms, 207.012, None
7, 9.6649 ms, 228.692, 48.2036 ms, 222.571, AU
8, 14.2957 ms, 246.739, 60.4447 ms, 244.641, AU
9, 21.3385 ms, 302.528, 46.6314 ms, 302.528, None
10, 30.1049 ms, 341.16, 109.444 ms, 335.414, AU
11, 46.3588 ms, 400.602, 178.026 ms, 393.436, AU
12, 43.2725 ms, 437.102, 137.879 ms, 437.102, None
13, 40.5563 ms, 449.117, 168.353 ms, 449.117, None
14, 64.6161 ms, 526.678, 254.895 ms, 518.981, AU
15, 95.6116 ms, 528.644, 387.102 ms, 526.409, AU
16, 68.8047 ms, 576.529, 439.278 ms, 567.819, AU
17, 108.55 ms, 625.607, 437.854 ms, 621.932, AU
18, 122.419 ms, 665.939, 453.102 ms, 663.717, AU
19, 161.057 ms, 712.21, 716.509 ms, 711.661, AU
20, 164.68 ms, 764.221, 1.31554 s, 758.397, AU
21, 239.328 ms, 783.044, 2.15853 s, 758.65, AU
22, 228.256 ms, 829.045, 1.4097 s, 811.414, AU
23, 221.527 ms, 871.761, 1.26081 s, 860.25, AU
24, 274.036 ms, 905.398, 1.89459 s, 884.308, AU
25, 290.695 ms, 944.782, 2.59688 s, 919.426, AU
26, 320.515 ms, 982.915, 3.28046 s, 956.452, AU
27, 401.474 ms, 1011.63, 3.07739 s, 988.859, AU
28, 367.564 ms, 1062.26, 3.95063 s, 1040.9, AU
29, 336.519 ms, 1096.16, 3.84688 s, 1085.67, AU
30, 391.649 ms, 1140.54, 3.64039 s, 1113.64, AU
31, 490.166 ms, 1185.54, 4.64414 s, 1175.52, AU
32, 460.364 ms, 1223.32, 5.4351 s, 1219.75, AU
33, 471.652 ms, 1255.52, 9.45686 s, 1203.61, AU
34, 499.417 ms, 1295.17, 9.27662 s, 1277.79, AU
35, 517.007 ms, 1352.59, 9.62995 s, 1336.35, AU
36, 650.641 ms, 1388.64, 9.67476 s, 1370.69, AU
37, 712.462 ms, 1421.38, 12.7294 s, 1411.55, AU
38, 902.976 ms, 1459.6, 16.3264 s, 1418.2, AU
39, 683.895 ms, 1507.56, 12.9957 s, 1502.83, AU
40, 833.365 ms, 1547.07, 19.1442 s, 1517.67, AU
41, 863.663 ms, 1574.05, 17.0474 s, 1560.77, AU
42, 966.427 ms, 1632.21, 18.6269 s, 1622.16, AU
43, 1.13147 s, 1648.56, 24.1816 s, 1621.03, AU
44, 1.06718 s, 1701.04, 33.111 s, 1669.45, AU
45, 2.65252 s, 1736.29, 34.9367 s, 1722.68, AU
46, 2.66951 s, 1779.7, 34.3895 s, 1771.16, AU
47, 2.04628 s, 1820.82, 49.7227 s, 1800.44, AU
48, 1.6139 s, 1867.92, 43.1455 s, 1862.14, AU
49, 1.88284 s, 1905.74, 49.6919 s, 1882.19, AU
50, 1.80998 s, 1922.81, 1 min 5 s, 1896.07, AU
