Edge per part, Time Execution MWM, Total Cost MWM, Time Execution AU, Total Cost AU, Winner
5, 3.5563 ms, 163.88, 4.1 us, 163.88, None
6, 5.2231 ms, 182.982, 9.5 us, 174.686, AU
7, 13.0563 ms, 233.153, 19.5 us, 215.233, AU
8, 14.3441 ms, 270.889, 11.3 us, 259.096, AU
9, 13.9999 ms, 308.205, 16.8 us, 292.364, AU
10, 25.7939 ms, 343.625, 14.7 us, 338.67, AU
11, 28.677 ms, 397.168, 22.1 us, 370.15, AU
12, 31.4233 ms, 415.314, 24.6 us, 381.184, AU
13, 46.2194 ms, 447.846, 21.5 us, 446.327, AU
14, 53.4822 ms, 508.5, 26.9 us, 475.653, AU
15, 98.3814 ms, 533.425, 35.9 us, 506.309, AU
16, 84.2404 ms, 589.257, 22.5 us, 585.05, AU
17, 112.582 ms, 623.729, 50.9 us, 600.531, AU
18, 102.783 ms, 654.173, 26.6 us, 654.173, None
19, 129.19 ms, 694.759, 33.2 us, 684.413, AU
20, 174.165 ms, 719.066, 51.2 us, 704.641, AU
21, 181.068 ms, 788.354, 53.3 us, 776.334, AU
22, 214.076 ms, 817.105, 84.5 us, 793.461, AU
23, 200.945 ms, 863.364, 85.5 us, 844.369, AU
24, 325.709 ms, 880.891, 72.7 us, 874.269, AU
25, 306.148 ms, 929.422, 88.2 us, 923.889, AU
26, 320.783 ms, 985.328, 60.6 us, 970.836, AU
27, 297.838 ms, 1020.76, 90.6 us, 1000.97, AU
28, 394.486 ms, 1053.1, 83.1 us, 1041.06, AU
29, 475.356 ms, 1098.72, 93 us, 1065.37, AU
30, 481.623 ms, 1151.06, 261.5 us, 1110.6, AU
