Edge per part,Execution Time MWM,Seconds MWM,Total Cost MWM,Execution Time AU,Seconds AU,Total Cost AU,Winner Execution Time,Winner Total Cost
5,2.04761ms,0.00204761,168.995,3.07811ms,0.00307811,147.767,MWM,MWM
6,781.858us,0.000781858,200.615,1.92965ms,0.00192965,200.615,MWM,None
7,1.35635ms,0.00135635,219.646,6.48336ms,0.00648336,217.579,MWM,MWM
8,1.82281ms,0.00182281,247.698,6.3756ms,0.0063756,247.614,MWM,MWM
9,2.00267ms,0.00200267,312.901,5.50572ms,0.00550572,312.901,MWM,None
10,4.14564ms,0.00414564,338.687,21.6384ms,0.0216384,330.363,MWM,MWM
11,3.29349ms,0.00329349,366.648,22.9561ms,0.0229561,366.648,MWM,None
12,6.48717ms,0.00648717,415.995,26.7188ms,0.0267188,415.837,MWM,MWM
13,7.37496ms,0.00737495,464.833,19.2568ms,0.0192568,464.833,MWM,None
14,7.29462ms,0.00729462,500.728,28.7202ms,0.0287202,495.873,MWM,MWM
15,10.2601ms,0.0102601,532.844,50.8488ms,0.0508488,522.003,MWM,MWM
16,9.61486ms,0.00961486,579.816,89.0818ms,0.0890818,566.115,MWM,MWM
17,16.5503ms,0.0165503,614.91,72.5517ms,0.0725517,583.937,MWM,MWM
18,15.4399ms,0.0154399,653.859,74.3715ms,0.0743715,651.783,MWM,MWM
19,17.3353ms,0.0173353,699.711,68.7357ms,0.0687357,693.954,MWM,MWM
20,20.1097ms,0.0201097,744.095,114.534ms,0.114534,736.542,MWM,MWM
21,23.1126ms,0.0231126,787.044,145.495ms,0.145495,765.888,MWM,MWM
22,33.0433ms,0.0330433,799.158,138.99ms,0.13899,778.079,MWM,MWM
23,35.2153ms,0.0352153,869.795,111.031ms,0.111031,863.774,MWM,MWM
24,36.4204ms,0.0364204,913.451,173.059ms,0.173059,893.215,MWM,MWM
25,44.98ms,0.04498,949.559,141.582ms,0.141582,943.923,MWM,MWM
26,35.1713ms,0.0351713,974.02,177.899ms,0.177899,956.261,MWM,MWM
27,53.4131ms,0.0534131,1010.79,172.344ms,0.172344,994.584,MWM,MWM
28,58.1832ms,0.0581832,1050.75,211.674ms,0.211674,1043.44,MWM,MWM
29,72.0792ms,0.0720792,1106.02,213.859ms,0.213859,1090.9,MWM,MWM
30,73.1866ms,0.0731866,1139.56,312.137ms,0.312137,1128.55,MWM,MWM
31,79.0629ms,0.0790629,1169.24,395.542ms,0.395542,1138.89,MWM,MWM
32,71.3964ms,0.0713964,1221.67,309.993ms,0.309993,1212.38,MWM,MWM
33,80.6443ms,0.0806443,1260.16,366.562ms,0.366562,1244.73,MWM,MWM
34,108.953ms,0.108953,1300.46,394.629ms,0.394629,1274.6,MWM,MWM
35,103.642ms,0.103642,1354.28,543.592ms,0.543592,1320.85,MWM,MWM
36,110.551ms,0.110551,1378.97,588.601ms,0.588601,1366.94,MWM,MWM
37,110.659ms,0.110659,1413.25,501.152ms,0.501152,1394.01,MWM,MWM
38,123.245ms,0.123245,1466.12,465.055ms,0.465055,1439.55,MWM,MWM
39,136.425ms,0.136425,1500.32,565.753ms,0.565753,1480.86,MWM,MWM
40,136.771ms,0.136771,1532.8,746.434ms,0.746434,1507.21,MWM,MWM
41,142.673ms,0.142673,1591.09,735.983ms,0.735983,1563.17,MWM,MWM
42,183.133ms,0.183133,1608.1,742.334ms,0.742334,1587.74,MWM,MWM
43,164.233ms,0.164233,1658.43,696.655ms,0.696655,1638.85,MWM,MWM
44,171.914ms,0.171914,1697.38,1.00717s,1.00717,1679.2,MWM,MWM
45,188.263ms,0.188263,1743.9,774.576ms,0.774576,1731.22,MWM,MWM
46,207.327ms,0.207327,1786.63,1.35982s,1.35982,1765.83,MWM,MWM
47,199.522ms,0.199522,1823.85,1.63523s,1.63523,1779.48,MWM,MWM
48,257.833ms,0.257833,1838.06,1.13287s,1.13287,1800.95,MWM,MWM
49,224.591ms,0.224591,1912.52,1.0803s,1.0803,1890.4,MWM,MWM
50,251.138ms,0.251138,1944.32,1.37351s,1.37351,1920.11,MWM,MWM
